"ID","weight","weight_2","Country_code","Country_name","Age_cat","Female","Income","Higher_edu","Home_ownership","Dwelling_house","Dwelling_size","Rural","Env_concern","Env_policy_public","Env_policy_costs","Env_policy_subsidy","Env_policy_tax","Env_policy_standards","Env_policy_liH","Adoption","Gov_support","EPS"
"acdc4920-4153-11ec-8f35-9b54395df3c0",1.06201600696462,0.955989791341509,2,"UK","45-54",0,"quintile 3",0,1,1,"26–50 m²",1,0,1,0,0,0,0,1,0,0,3.45
"aa121460-4153-11ec-a490-bfe691dc5023",1.13223734247049,1.05693128766589,2,"UK","25-34",1,"quintile 4",1,0,1,"51–75 m²",0,1,1,0,1,0,1,0,0,0,3.45
"b3b244c0-4153-11ec-a411-2f4d2aecf4ff",1.12540202479433,1.04229305773369,3,"FR","35-44",0,"quintile 4",1,1,0,"26–50 m²",1,1,0,0,0,1,1,0,1,0,4.17
"06d3a060-4153-11ec-9258-f1a0617966aa",0.946667390763551,0.912219635209008,3,"FR","35-44",1,"quintile 1",0,1,1,"76–100 m²",1,1,1,0,1,0,0,0,0,0,4.17
"4c504320-9cbc-11ec-a6c8-8ff8f884b637",0.986121099425921,0.922870377679223,3,"FR","45-54",1,"quintile 4",1,1,1,"51–75 m²",1,0,0,0,1,1,1,1,1,0,4.17
"27565120-4153-11ec-bf05-53a60245e788",0.963403263611784,0.898196473499213,2,"UK","35-44",1,"quintile 4",0,0,1,"101–150 m²",0,1,0,0,1,0,1,1,1,0,3.45
"c41e9500-4154-11ec-bf7d-03710ab0448d",1.05596347932457,0.984476428298533,2,"UK","45-54",0,"quintile 1",1,1,0,"Don't know",0,0,1,0,0,0,0,0,1,0,3.45
"fb180040-4159-11ec-abd4-3167ebbb1c4c",0.959362427325452,0.975156237036136,3,"FR","35-44",1,"quintile 2",0,1,1,"101–150 m²",1,1,1,0,1,0,1,1,0,0,4.17
"3492bd60-e71c-11ec-8357-630440d97325",1.05714117926664,1.01233236595886,2,"UK","35-44",1,"quintile 4",1,1,1,"Don't know",1,0,1,0,1,1,1,1,1,0,3.45
"07c2b2e0-4153-11ec-b2a1-55f4e8817888",0.989511785610449,0.995518247684224,3,"FR","45-54",1,"quintile 2",0,0,0,"26–50 m²",1,1,0,0,1,0,1,0,1,0,4.17
"d55dcda0-c6e2-11ec-ac76-29d2b22e5cc1",0.95903240500117,0.878505162904642,2,"UK","45-54",1,"quintile 3",1,1,1,"Don't know",0,0,1,0,1,0,1,1,1,0,3.45
"2ac08980-4153-11ec-858f-21bdd4523dc9",1.0227712812823,0.880425316079257,2,"UK","45-54",0,"quintile 4",0,0,1,"Don't know",0,1,0,0,1,1,1,1,1,0,3.45
"abe0f950-4153-11ec-9608-a5f31c0dda62",0.946667390763551,0.912219635209008,3,"FR","35-44",1,"quintile 1",0,0,0,"51–75 m²",0,1,1,0,1,0,1,1,0,0,4.17
"08086360-535c-11ec-a5d6-75ad9b38d494",1.03094262301205,0.953120747427495,2,"UK","35-44",1,"quintile 4",0,1,1,"Don't know",0,1,0,0,1,0,0,1,1,0,3.45
"fb78ba90-68be-11ec-b6dd-7777e2098a1a",1.01741544740035,1.02310028609966,2,"UK","35-44",1,"quintile 1",1,0,0,"Don't know",0,1,1,0,1,1,1,1,1,0,3.45
